Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Roberto Campos,DET,A,23,6,14,17,3,3,0,0,0,1,0,3,0,2,0,0,0,1,0,0,.214,sa3014683
Hedbert Perez,TOR,A,23,3,11,12,5,3,1,0,1,2,4,1,0,4,0,0,0,0,2,1,.455,sa3014692
Emmanuel Rodriguez,MIN,A,23,3,11,11,2,1,0,1,0,1,0,0,0,8,0,0,0,0,0,0,.182,sa3014693
Luis Durango,NYY,A,23,27,96,106,30,26,3,1,0,15,14,6,0,12,2,1,1,1,18,6,.313,sa3015232
Adrian Pinto,TOR,A,23,10,33,41,8,5,2,0,1,7,4,7,0,6,1,0,0,0,0,0,.242,sa3015542
Miguel Briceno,MIN,A,22,4,15,17,2,1,1,0,0,2,1,2,0,5,0,0,0,0,0,0,.133,sa3015566
Jesus Castillo,PIT,A,22,2,5,6,2,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,.400,sa3015587
Javier Rivas,PIT,A,23,3,9,10,5,5,0,0,0,1,0,1,0,3,0,0,0,0,0,1,.556,sa3015589
Victor Arias,TOR,A,22,5,19,24,2,1,1,0,0,3,3,5,0,6,0,0,0,0,2,1,.105,sa3015636
Johnfrank Salazar,STL,A,22,22,82,92,26,16,9,0,1,19,12,8,0,20,2,0,0,4,4,1,.317,sa3015643
Newremberg Rondon,DET,A,22,21,63,71,12,10,1,0,1,7,8,8,0,21,0,0,0,0,0,0,.190,sa3015653
Omar Alfonzo,PIT,A,22,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,sa3015665
Kevin Villavicencio,NYM,A,22,14,52,54,6,6,0,0,0,4,4,2,0,11,0,0,0,1,2,1,.115,sa3015673
Jesus Hernandez,MIA,A,22,4,13,14,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.000,sa3015736
Thayron Liranzo,DET,A,22,12,31,43,10,8,2,0,0,7,3,10,0,7,1,1,0,1,0,0,.323,sa3015790
Samuel Escudero,PIT,A,22,10,29,34,2,0,1,0,1,2,2,4,0,15,0,1,0,0,0,0,.069,sa3015807
Yohairo Cuevas,NYM,A,22,24,78,103,24,10,11,1,2,14,11,19,0,21,5,1,0,0,4,2,.308,sa3015826
Luis Pino,STL,A,22,18,56,64,11,8,3,0,0,9,5,4,0,24,2,1,0,1,2,2,.196,sa3015866
Willy Montero,NYY,A,21,78,288,323,80,50,16,2,12,42,49,31,0,83,2,2,0,7,18,3,.278,sa3015869
Anyelo Encarnación,STL,A,22,2,7,7,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,.286,sa3016157
Hans Montero,NYY,A,22,98,346,417,81,45,18,6,12,60,52,60,0,99,8,3,0,6,35,7,.234,sa3016321
Edward Duran,TOR,A,22,6,21,25,5,4,1,0,0,4,1,4,0,6,0,0,0,0,2,0,.238,sa3016719
Chris Meyers,DET,A,27,9,25,31,6,2,3,0,1,3,3,5,0,9,1,0,0,0,0,0,.240,sa3016956
Adam Hackenberg,TOR,A,26,32,120,140,37,27,9,0,1,20,15,12,0,29,4,4,0,4,3,3,.308,sa3017041
Mike Jarvis,PIT,A,28,4,12,17,2,2,0,0,0,3,0,4,0,4,1,0,0,0,1,0,.167,sa3017401
Jake Rucker,MIN,A,26,3,12,15,7,4,2,0,1,3,1,3,0,1,0,0,0,0,0,0,.583,sa3017757
Yordany De Los Santos,PIT,A,21,5,21,22,5,3,0,0,2,2,5,1,0,4,0,0,0,1,0,0,.238,sa3018408
Javier Osorio,DET,A,21,83,251,287,63,40,14,0,9,36,36,25,0,67,5,5,0,7,29,7,.251,sa3018410
Jonathan Mejía,STL,A,21,76,255,321,56,31,10,3,12,45,53,59,0,88,3,4,0,2,9,6,.220,sa3018411
Simon Juan,NYM,A,20,79,279,298,60,39,10,2,9,30,40,11,0,97,6,2,0,2,7,5,.215,sa3018412
Anthuan Valencia,CIN,A,21,49,114,137,23,21,2,0,0,20,10,16,0,44,4,3,0,2,8,2,.202,sa3018422
Yilber Herrera,MIN,A,21,14,30,41,5,2,2,0,1,4,3,9,0,16,1,1,0,0,4,1,.167,sa3018425
