Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Alan Rangel,PHI,AAA,28,70.0,9.39,3.47,2.70,1.29,24.8%,9.2%,15.6%,.245,1.31,.302,77.5%,3.99,4.56,-0.57,4.72,19524
Codi Heuer,CLE,AAA,29,25.0,7.92,2.88,2.75,0.72,21.0%,7.6%,13.3%,.245,1.24,.300,80.1%,3.24,4.15,-0.91,4.72,23293
Jack Anderson,MIN,AAA,26,3.0,3.00,0.00,1.00,0.00,9.1%,0.0%,9.1%,.182,0.67,.200,100.0%,0.00,2.88,-2.88,4.71,30086
JR Ritchie,ATL,AAA,23,44.2,8.46,4.43,1.91,0.81,22.8%,12.0%,10.9%,.197,1.19,.243,78.2%,3.22,4.64,-1.42,4.71,31760
Michael Mercado,PHI,AAA,27,33.2,10.16,5.61,1.81,1.07,24.2%,13.4%,10.8%,.231,1.54,.293,74.4%,4.54,4.88,-0.34,4.70,23223
Gerson Garabito,MIL,AAA,30,19.0,8.05,4.26,1.89,0.95,19.3%,10.2%,9.1%,.269,1.58,.322,53.2%,6.63,4.70,1.93,4.69,19835
Josh White,MIA,AAA,25,44.0,10.02,5.52,1.81,0.82,27.5%,15.2%,12.4%,.167,1.18,.216,86.5%,2.25,4.41,-2.16,4.69,31738
Skylar Hales,STL,AAA,24,30.1,10.38,5.93,1.75,1.48,23.0%,13.2%,9.9%,.308,1.98,.389,63.6%,7.71,5.56,2.16,4.68,sa3022739
Garrett Stallings,MIL,AAA,28,65.2,8.22,3.29,2.50,0.55,21.1%,8.4%,12.6%,.252,1.36,.314,71.8%,3.70,3.74,-0.04,4.68,27485
Drue Hackenberg,ATL,AAA,24,26.1,10.59,5.81,1.82,0.68,25.8%,14.2%,11.7%,.267,1.67,.368,62.5%,6.15,4.34,1.81,4.68,sa3023304
Mitch Spence,KCR,AAA,28,69.0,7.57,2.74,2.76,1.57,19.1%,6.9%,12.2%,.273,1.41,.308,65.3%,5.61,5.21,0.40,4.68,27707
Cole Sands,MIN,AAA,28,7.0,9.00,3.86,2.33,0.00,26.9%,11.5%,15.4%,.130,0.86,.188,100.0%,0.00,2.83,-2.83,4.66,21461
Cade Povich,BAL,AAA,26,33.2,9.89,3.48,2.85,2.94,24.7%,8.7%,16.0%,.250,1.40,.261,79.8%,5.88,6.84,-0.96,4.66,30055
Matthew Boyd,CHC,AAA,35,12.2,9.24,2.13,4.33,2.13,23.6%,5.5%,18.2%,.288,1.42,.333,50.7%,7.11,5.28,1.82,4.66,15440
Mitchell Parker,WSN,AAA,26,13.1,10.80,2.03,5.33,1.35,26.7%,5.0%,21.7%,.304,1.50,.395,65.9%,6.08,4.00,2.08,4.66,27636
Jake Woodford,MIL,AAA,29,6.1,11.37,4.26,2.67,1.42,22.2%,8.3%,13.9%,.344,2.21,.435,51.5%,9.95,4.97,4.98,4.65,18674
