Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Aaron McKeithan","PIT","AA",25,139,0.129496402,0.151079136,0.857142857,0.175438596,0.299270072,0.271929824,0.571199896,0.096491228,1.4252773360189628,0.184782608,-0.8201031647622585,11.925013138140097,-3.9600415395847413,0.27934853134364107,73.1031053295122,"sa3016977"
"Alex Binelas","PHI","AA",25,269,0.144981412,0.271375464,0.534246575,0.265486725,0.371747211,0.424778761,0.796525972,0.159292036,3.3932783449937993,0.351351351,-0.7346281707286835,40.82806298562976,10.086482350320534,0.3671075574942489,127.46817221260756,"sa3017044"
"Wyatt Young","NYM","AA",25,333,0.162162162,0.198198198,0.818181818,0.243542435,0.364741641,0.291512915,0.656254556,0.04797048,5.012902488055737,0.3125,-0.4836751688271761,38.62342680587425,0.5678641606773425,0.31950671295989247,105.42907206142698,"sa3017081"
"Tyler Miller","BOS","AA",25,311,0.077170418,0.241157556,0.32,0.200716845,0.264516129,0.354838709,0.619354838,0.154121864,5.122539274697332,0.23880597,-0.6888087587431073,27.768635814071548,-7.7727455152264735,0.2839991123445572,75.96866772748045,"sa3017109"
"Donta' Williams","WSN","AA",26,55,0.072727272,0.218181818,0.333333333,0.125,0.218181818,0.229166666,0.447348484,0.104166666,5.38589962475225,0.138888888,0.09485433343797922,2.1784937162357476,-4.1069595735114905,0.2179272174835205,38.05151126398444,"sa3017152"
"Nic Kent","COL","AA",25,384,0.0859375,0.208333333,0.4125,0.220238095,0.304461942,0.297619047,0.602080989,0.077380952,4.878120204411069,0.274509803,-0.36780568584799767,35.27412679643474,-8.609765262891424,0.28741911280499355,79.2149972630598,"sa3017160"
"Wyatt Hendrie","PIT","AA",26,140,0.171428571,0.214285714,0.8,0.179245283,0.350364963,0.283018867,0.63338383,0.103773584,4.16149810083545,0.213333333,-0.30188312102109194,15.771937449408764,-0.22739819722057056,0.3150784843159418,96.6432678287376,"sa3017163"
"Zach Kokoska","COL","AA",26,280,0.096428571,0.360714285,0.267326732,0.186991869,0.278571428,0.382113821,0.660685249,0.195121952,6.867887659408316,0.251851851,0.5588817065581679,29.52963633851082,-2.4690349547478485,0.3055110678076744,91.13462002388309,"sa3017165"
"Benny Montgomery","COL","AA",22,355,0.087323943,0.363380281,0.240310077,0.200626959,0.274011299,0.263322884,0.537334183,0.062695925,3.303025754025727,0.319148936,-1.7906448496505618,24.682791862456078,-15.886952098639735,0.25771993567041085,59.64812415848719,"sa3017169"
"Reed Trimble","BAL","AA",25,217,0.101382488,0.216589861,0.468085106,0.256684491,0.351851851,0.502673796,0.854525647,0.245989305,8.733630355522418,0.290076335,1.992491725832224,35.618905631612,10.819935379336535,0.383552949562251,136.44184214152372,"sa3017180"
"Rowdey Jordan","NYM","AA",26,10,0.1,0.3,0.333333333,0.111111111,0.2,0.444444444,0.644444444,0.333333333,2.64285714,0,-0.011682852171361446,0.9368239654425201,-0.2059857236024323,0.2898432374000549,85.88572042276927,"sa3017214"
"Vaun Brown","SFG","AA",27,99,0.111111111,0.242424242,0.458333333,0.247058823,0.346938775,0.282352941,0.629291716,0.035294118,5.566068110609152,0.344262295,1.0392701616510749,10.521695018999385,-0.7921209025456447,0.3065973349979946,94.38850040223285,"sa3017282"
"Damiano Palmegiani","TOR","AA",25,34,0.117647058,0.323529411,0.363636363,0.2,0.294117647,0.3,0.594117647,0.1,4.51785714,0.315789473,-0.08177996519953012,2.6446603109207563,-1.240892631832082,0.26869901743802155,68.22792464293764,"sa3017326"
"Braiden Ward","COL","AA",26,205,0.092682926,0.185365853,0.5,0.258620689,0.359605911,0.333333333,0.692939244,0.074712644,6.569704341768778,0.323529411,1.6780607979744673,25.648001166406505,2.220402540984981,0.33164393050330027,108.3518784653337,"sa3017332"
"JT Schwartz","NYM","AA",25,335,0.11641791,0.170149253,0.684210526,0.204946996,0.308383233,0.332155477,0.64053871,0.127208481,2.6224119994047617,0.233480176,-1.7103034425526857,34.42851648679336,-3.855608096212543,0.30193172529072104,93.85004574770898,"sa3017371"
"Paul McIntosh","PHI","AA",27,232,0.099137931,0.172413793,0.575,0.266990291,0.344827586,0.446601941,0.791429527,0.17961165,2.561644654941068,0.295597484,-0.28928827214986086,34.45424870892481,7.941063923081911,0.36276189006608106,124.60509210987229,"sa3017372"
"Jose Torres","COL","AA",25,272,0.080882352,0.327205882,0.247191011,0.243801652,0.309963099,0.421487603,0.731450702,0.177685951,4.562943131241425,0.333333333,0.4878255547955632,34.428726830743294,3.3443032887205866,0.333591007438533,109.63468192968209,"sa3017396"
"Brenden Dixon","PIT","AA",24,215,0.125581395,0.293023255,0.428571428,0.175824175,0.286384976,0.263736263,0.550121239,0.087912088,6.261470860990781,0.245762711,0.393450740724802,16.58555101454177,-7.984857299924708,0.267845138137889,65.52426117134,"sa3017397"
"Mike Jarvis","PIT","AA",27,204,0.058823529,0.245098039,0.24,0.202185792,0.258706467,0.273224043,0.53193051,0.071038251,7.7872317666702315,0.261194029,1.2878726087510586,13.105127461629417,-10.208190194887614,0.25068682847331414,54.21975713157122,"sa3017401"
"Kahlil Watson","CLE","AA",22,253,0.102766798,0.28458498,0.361111111,0.246575342,0.337301587,0.461187214,0.798488801,0.214611872,6.232215711428298,0.326241134,-1.286890690214932,37.5917923603183,8.678707227481004,0.3628609286887305,133.806766410435,"sa3017513"
"Branden Boissiere","WSN","AA",25,214,0.098130841,0.228971962,0.428571428,0.291005291,0.369158878,0.449735449,0.818894327,0.158730158,3.17757935875,0.372262773,-0.6892882781103253,33.84399466638278,9.38786732082079,0.3755825537944508,141.920448301389,"sa3017558"
"Creed Willems","BAL","AA",22,434,0.087557603,0.191244239,0.457831325,0.253298153,0.337962962,0.440633245,0.778596207,0.187335092,1.8304978778451315,0.282685512,-1.837423300370574,62.15317411327348,12.555233608722546,0.3557135629099469,118.10026508481577,"sa3017562"
"Nicolas Deschamps","TOR","AA",22,35,0.085714285,0.342857142,0.25,0.09375,0.171428571,0.125,0.296428571,0.03125,2.64285714,0.15,-0.05841426085680723,-0.3389963865805883,-4.338830298237921,0.15236690044403076,-8.415807299290748,"sa3017732"
